Started at: Thu Nov 18 02:19:15 2021

Using random seed: 1637198355
Map: .\res\textures\testmap_multifood_1024x512.png
FOLLOW_GREEN_FEROMONE: false
FOLLOW_RED_FEROMONE: false
AVOID_WALLS: false
time,total_gathered_food,gathered_food_since_last_entry,number_of_ants_carrying_food
2.4 0 0 0
4.80001 0 0 0
7.20007 0 0 0
9.60012 0 0 0
12.0002 0 0 0
14.4002 0 0 0
16.8003 0 0 0
19.2003 0 0 0
21.6004 0 0 0
24.0005 0 0 0
26.4005 0 0 1
28.8006 0 0 1
31.2006 0 0 1
33.6004 0 0 1
36 0 0 1
38.3996 0 0 1
40.7992 0 0 1
43.1988 0 0 1
45.5984 0 0 1
47.998 1 1 1
50.3975 1 0 1
52.7971 1 0 1
55.1967 1 0 1
57.5963 1 0 1
59.9959 1 0 1
62.3955 1 0 1
64.7954 2 1 0
67.1959 2 0 0
69.5965 2 0 0
71.997 2 0 0
74.3975 2 0 0
76.798 2 0 0
79.1985 2 0 0
81.599 2 0 0
83.9995 2 0 0
86.4 2 0 0
88.8006 2 0 0
91.2011 2 0 0
93.6016 2 0 0
96.0021 2 0 0
98.4026 2 0 1
100.803 2 0 1
103.204 2 0 1
105.604 2 0 1
108.005 2 0 1
110.405 2 0 1
112.806 2 0 1
115.206 2 0 1
117.607 2 0 2
120.007 2 0 2
122.408 3 1 1
124.808 3 0 1
127.209 3 0 1
129.608 3 0 1
132.007 3 0 1
134.405 3 0 1
136.804 3 0 1
139.203 3 0 1
141.601 3 0 2
144 3 0 2
146.399 3 0 2
148.798 4 1 1
151.196 4 0 1
153.595 4 0 1
155.994 4 0 1
158.392 4 0 1
160.791 4 0 1
163.19 4 0 1
165.588 4 0 1
167.987 4 0 1
170.386 4 0 1
172.784 4 0 1
175.183 4 0 1
177.582 4 0 1
179.98 4 0 1
182.379 4 0 1
184.778 4 0 2
187.176 4 0 2
189.575 5 1 1
191.974 5 0 1
194.372 5 0 1
196.771 5 0 1
199.17 5 0 1
201.568 5 0 1
203.967 5 0 1
206.366 5 0 1
208.765 5 0 1
211.163 5 0 1
213.562 5 0 1
215.961 5 0 1
218.359 5 0 1
220.758 5 0 2
223.157 6 1 1
225.555 6 0 1
227.954 6 0 1
230.353 6 0 1
232.751 6 0 1
235.15 6 0 1
237.549 6 0 1
239.947 6 0 1
242.346 6 0 1
244.745 6 0 2
247.143 6 0 2
249.542 6 0 2
251.941 6 0 2
254.339 6 0 2
256.739 6 0 2
259.142 6 0 2
261.544 6 0 2
263.946 6 0 2
266.349 6 0 2
268.751 6 0 2
271.153 6 0 2
273.556 6 0 2
275.958 6 0 2
278.36 6 0 2
280.763 6 0 2
283.165 6 0 2
285.567 6 0 2
287.97 6 0 2
290.372 6 0 2
292.774 6 0 2
295.177 6 0 2
297.579 6 0 2
299.981 6 0 2
302.384 6 0 2
304.786 6 0 2
307.189 6 0 2
309.591 6 0 2
311.993 6 0 2
314.396 6 0 2
316.798 6 0 2
319.2 6 0 2
321.603 7 1 1
324.005 7 0 1
326.407 7 0 1
328.81 7 0 1
331.212 7 0 1
333.614 7 0 1
336.017 7 0 1
338.419 7 0 1
340.821 7 0 1
343.224 7 0 2
345.626 7 0 2
348.028 7 0 2
350.431 7 0 2
352.833 7 0 2
355.235 7 0 2
357.638 7 0 2
360.04 7 0 2
362.442 7 0 2
364.845 7 0 2
367.247 7 0 2
369.649 7 0 2
372.052 7 0 2
374.454 7 0 2
376.856 7 0 2
379.259 7 0 2
381.661 7 0 2
384.064 7 0 2
386.466 7 0 2
388.868 7 0 2
391.271 7 0 2
393.673 7 0 2
396.075 7 0 2
398.478 7 0 2
400.88 7 0 2
403.282 7 0 2
405.685 7 0 2
408.087 7 0 2
410.489 7 0 2
412.892 7 0 2
415.294 7 0 2
417.696 7 0 2
420.099 7 0 2
422.501 7 0 2
424.903 7 0 2
427.306 7 0 2
429.708 7 0 2
432.11 7 0 2
434.513 7 0 2
436.915 7 0 2
439.317 7 0 2
441.72 7 0 2
444.122 7 0 2
446.524 7 0 2
448.927 7 0 2
451.329 7 0 2
453.731 7 0 2
456.134 7 0 2
458.536 7 0 2
460.939 8 1 1
463.341 8 0 1
465.743 8 0 1
468.146 8 0 1
470.548 8 0 1
472.95 8 0 1
475.353 8 0 1
477.755 8 0 1
480.157 8 0 1
482.56 8 0 1
484.962 8 0 1
487.364 8 0 1
489.767 8 0 1
492.169 8 0 1
494.571 8 0 1
496.974 8 0 1
499.376 8 0 1
501.778 8 0 1
504.181 8 0 1
506.583 8 0 1
508.985 8 0 1
511.388 8 0 1
513.79 8 0 1
516.192 8 0 1
518.595 8 0 1
520.997 8 0 2
523.399 8 0 2
525.802 8 0 2
528.204 8 0 2
530.606 8 0 2
533.009 8 0 2
535.411 8 0 2
537.813 8 0 2
