Started at: Thu Nov 18 02:20:20 2021

Using random seed: 1637198420
Map: .\res\textures\testmap_multifood_1024x512.png
FOLLOW_GREEN_FEROMONE: false
FOLLOW_RED_FEROMONE: false
AVOID_WALLS: false
time,total_gathered_food,gathered_food_since_last_entry,number_of_ants_carrying_food
2.4 0 0 0
4.80001 0 0 0
7.20007 0 0 0
9.60012 0 0 0
12.0002 0 0 0
14.4002 0 0 0
16.8003 0 0 0
19.2003 0 0 1
21.6004 0 0 1
24.0005 0 0 1
26.4005 0 0 1
28.8006 0 0 1
31.2006 0 0 1
33.6004 0 0 1
36 0 0 1
38.3996 0 0 1
40.7992 0 0 1
43.1988 0 0 1
45.5984 0 0 1
47.998 0 0 1
50.3975 0 0 1
52.7971 0 0 1
55.1967 0 0 1
57.5963 0 0 1
59.9959 0 0 1
62.3955 0 0 1
64.7954 0 0 1
67.1959 0 0 1
69.5965 0 0 1
71.997 0 0 1
74.3975 0 0 1
76.798 0 0 1
79.1985 0 0 1
81.599 0 0 1
83.9995 0 0 1
86.4 0 0 1
88.8006 0 0 1
91.2011 0 0 1
93.6016 0 0 1
96.0021 0 0 1
98.4026 0 0 1
100.803 0 0 1
103.204 0 0 1
105.604 0 0 1
108.005 0 0 1
110.405 0 0 1
112.806 0 0 1
115.206 0 0 1
117.607 0 0 1
120.007 0 0 1
122.408 0 0 1
124.808 0 0 1
127.209 0 0 1
129.608 0 0 1
132.007 0 0 1
134.405 0 0 1
136.804 0 0 1
139.203 0 0 1
141.601 0 0 1
144 0 0 1
146.399 0 0 1
148.798 0 0 1
151.196 0 0 1
153.595 0 0 1
155.994 0 0 1
158.392 0 0 2
160.791 1 1 1
163.19 1 0 1
165.588 1 0 1
167.987 1 0 2
170.386 1 0 2
172.784 1 0 2
175.183 1 0 2
177.582 1 0 2
179.98 1 0 2
182.379 1 0 2
184.778 1 0 2
187.176 2 1 1
189.575 2 0 1
191.974 2 0 1
194.372 2 0 1
196.771 2 0 1
199.17 2 0 1
201.568 2 0 1
203.967 2 0 1
206.366 2 0 1
208.765 2 0 1
211.163 2 0 1
213.562 2 0 1
215.961 2 0 1
218.359 2 0 1
220.758 2 0 1
223.157 2 0 1
225.555 2 0 1
227.954 2 0 1
230.353 2 0 1
232.751 2 0 1
235.15 2 0 1
237.549 2 0 2
239.947 2 0 2
242.346 2 0 2
244.745 3 1 1
247.143 3 0 1
249.542 3 0 1
251.941 3 0 1
254.339 3 0 1
256.739 3 0 1
259.142 3 0 1
261.544 3 0 1
263.946 3 0 1
266.349 3 0 1
268.751 3 0 1
271.153 3 0 1
273.556 3 0 1
275.958 3 0 1
278.36 3 0 1
280.763 3 0 1
283.165 3 0 1
285.567 3 0 1
287.97 3 0 1
290.372 3 0 1
292.774 3 0 1
295.177 3 0 1
297.579 3 0 1
299.981 3 0 1
302.384 3 0 1
304.786 3 0 2
307.189 4 1 1
309.591 4 0 1
311.993 4 0 1
314.396 4 0 1
316.798 4 0 2
319.2 4 0 2
321.603 4 0 2
324.005 4 0 2
326.407 5 1 1
328.81 5 0 1
331.212 5 0 1
333.614 5 0 1
336.017 5 0 1
338.419 5 0 1
340.821 5 0 1
343.224 5 0 1
345.626 5 0 1
348.028 5 0 2
350.431 5 0 2
352.833 5 0 2
355.235 6 1 1
357.638 6 0 2
360.04 6 0 2
362.442 6 0 2
364.845 6 0 2
367.247 6 0 2
369.649 6 0 2
372.052 6 0 2
374.454 6 0 2
376.856 7 1 1
379.259 7 0 1
381.661 7 0 1
384.064 7 0 1
386.466 7 0 1
388.868 7 0 2
391.271 7 0 2
393.673 7 0 2
396.075 7 0 2
398.478 7 0 2
400.88 7 0 2
403.282 7 0 2
405.685 7 0 2
408.087 7 0 2
410.489 7 0 2
412.892 7 0 2
415.294 7 0 2
417.696 7 0 2
420.099 7 0 2
422.501 7 0 2
424.903 7 0 2
427.306 7 0 2
429.708 7 0 2
432.11 7 0 2
434.513 7 0 2
436.915 7 0 2
439.317 7 0 2
441.72 7 0 2
444.122 8 1 1
446.524 8 0 2
448.927 8 0 2
451.329 8 0 2
453.731 8 0 2
456.134 8 0 2
458.536 9 1 1
460.939 9 0 1
463.341 9 0 1
465.743 9 0 1
468.146 9 0 1
470.548 9 0 1
472.95 9 0 1
475.353 9 0 1
477.755 9 0 1
480.157 9 0 1
482.56 9 0 1
484.962 9 0 1
487.364 9 0 1
489.767 9 0 1
492.169 9 0 1
494.571 9 0 1
496.974 9 0 1
499.376 9 0 1
501.778 9 0 1
504.181 9 0 1
506.583 9 0 1
508.985 9 0 1
511.388 9 0 1
513.79 9 0 1
516.192 9 0 1
518.595 9 0 1
520.997 9 0 1
523.399 9 0 1
525.802 9 0 2
528.204 9 0 2
530.606 9 0 2
533.009 9 0 2
535.411 9 0 2
537.813 9 0 2
