Started at: Tue Nov 16 18:00:22 2021

Using random seed: 1637082022
Map: res/textures/map_corridor_256x144.png
FOLLOW_GREEN_FEROMONE: true
FOLLOW_RED_FEROMONE: true
AVOID_WALLS: false
time,total_gathered_food,gathered_food_since_last_entry,number_of_ants_carrying_food
FOLLOW_GREEN_FEROMONE: true
FOLLOW_RED_FEROMONE: true
AVOID_WALLS: false
time,total_gathered_food,gathered_food_since_last_entry,number_of_ants_carrying_food
2.4,0,0,139
4.80001,196,196,679
7.20007,632,436,341
9.60012,798,166,183
12.0002,870,72,129
14.4002,916,46,115
16.8003,936,20,117
19.2003,949,13,112
21.6004,959,10,105
24.0005,964,5,102
26.4005,968,4,98
28.8006,971,3,95
31.2006,973,2,96
33.6004,973,0,97
36,973,0,98
38.3996,973,0,99
40.7992,973,0,99
43.1988,973,0,230
45.5984,973,0,530
47.998,973,0,897
50.3975,973,0,979
52.7971,973,0,979
55.1967,973,0,979
57.5963,1003,30,949
59.9959,1114,111,838
62.3955,1215,101,737
64.7954,1290,75,662
67.1959,1376,86,576
69.5965,1457,81,495
71.997,1534,77,418
74.3975,1581,47,371
76.798,1634,53,318
79.1985,1667,33,285
81.599,1679,12,273
83.9995,1694,15,258
86.4,1713,19,239
88.8006,1724,11,228
91.2011,1733,9,219
93.6016,1737,4,215
96.0021,1743,6,209
98.4026,1748,5,204
100.803,1755,7,197
103.204,1760,5,192
105.604,1770,10,182
108.005,1778,8,174
110.405,1785,7,167
112.806,1790,5,162
115.206,1795,5,165
117.607,1798,3,170
120.007,1801,3,185
122.408,1806,5,227
124.808,1816,10,265
127.209,1827,11,299
129.608,1834,7,370
132.007,1849,15,430
134.405,1856,7,487
136.804,1867,11,513
139.203,1873,6,552
141.601,1876,3,643
144,1884,8,689
146.399,1890,6,754
148.798,1895,5,827
151.196,1916,21,871
153.595,1972,56,878
155.994,2005,33,902
158.392,2056,51,894
160.791,2119,63,899
163.19,2176,57,909
165.588,2232,56,946
167.987,2280,48,974
170.386,2338,58,1000
172.784,2396,58,1044
175.183,2459,63,1062
177.582,2533,74,1056
179.98,2592,59,1087
182.379,2667,75,1075
184.778,2742,75,1067
187.176,2852,110,1020
189.575,2947,95,1003
191.974,3028,81,993
194.372,3116,88,962
196.771,3189,73,948
199.17,3272,83,943
201.568,3345,73,935
203.967,3417,72,938
206.366,3489,72,950
208.765,3565,76,926
211.163,3618,53,941
213.562,3681,63,951
215.961,3741,60,975
218.359,3813,72,968
220.758,3883,70,955
223.157,3963,80,938
225.555,4029,66,952
227.954,4114,85,959
230.353,4189,75,973
232.751,4260,71,1000
235.15,4344,84,1000
237.549,4411,67,1027
239.947,4487,76,1042
242.346,4575,88,1031
244.745,4652,77,1027
247.143,4749,97,1009
249.542,4830,81,1002
251.941,4920,90,984
254.339,4996,76,981
256.739,5094,98,968
259.142,5184,90,944
261.544,5279,95,943
263.946,5366,87,937
266.349,5464,98,926
268.751,5545,81,919
271.153,5632,87,900
273.556,5721,89,888
275.958,5802,81,882
278.36,5857,55,910
280.763,5913,56,919
283.165,5971,58,914
285.567,6034,63,853
287.97,6106,72,781
290.372,6159,53,728
292.774,6229,70,658
295.177,6280,51,607
297.579,6328,48,559
299.981,6366,38,521
302.384,6404,38,483
304.786,6431,27,456
307.189,6469,38,418
309.591,6496,27,391
311.993,6519,23,368
314.396,6538,19,349
316.798,6556,18,331
319.2,6574,18,313
321.603,6579,5,308
324.005,6582,3,305
326.407,6583,1,304
328.81,6583,0,304
331.212,6583,0,304
333.614,6583,0,304
336.017,6583,0,304
338.419,6583,0,304
340.821,6583,0,304
343.224,6583,0,304
345.626,6583,0,304
348.028,6583,0,304
350.431,6583,0,304
352.833,6584,1,303
355.235,6588,4,299
357.638,6610,22,277
360.04,6616,6,271
362.442,6625,9,262
364.845,6626,1,261
367.247,6630,4,257
369.649,6633,3,254
372.052,6637,4,250
374.454,6638,1,249
376.856,6642,4,245
379.259,6648,6,239
381.661,6669,21,218
384.064,6671,2,216
386.466,6677,6,210
388.868,6678,1,209
391.271,6690,12,197


Started at: Tue Nov 16 18:14:18 2021

Using random seed: 1637082858
Map: res/textures/testmap_multifood_1024x512.png
FOLLOW_GREEN_FEROMONE: true
FOLLOW_RED_FEROMONE: true
AVOID_WALLS: false
time,total_gathered_food,gathered_food_since_last_entry,number_of_ants_carrying_food
2.4,0,0,149
4.80001,203,203,576
7.20007,575,372,401
9.60012,763,188,225
12.0002,843,80,169
14.4002,896,53,148
16.8003,918,22,156
19.2003,936,18,162
21.6004,944,8,174
24.0005,955,11,164
26.4005,960,5,159
28.8006,966,6,153
31.2006,967,1,153
33.6004,970,3,150
36,971,1,149
38.3996,973,2,150
40.7992,973,0,151
43.1988,975,2,149
45.5984,983,8,143
47.998,993,10,227
50.3975,1005,12,297
52.7971,1022,17,336
55.1967,1074,52,428
57.5963,1118,44,494
59.9959,1192,74,464
62.3955,1322,130,370
64.7954,1442,120,295
67.1959,1532,90,290
69.5965,1597,65,314
71.997,1667,70,281
74.3975,1748,81,200
76.798,1836,88,112
79.1985,1866,30,82
81.599,1895,29,53
83.9995,1902,7,46
86.4,1912,10,36
88.8006,1915,3,33
91.2011,1919,4,29
93.6016,1920,1,28
96.0021,1921,1,27
98.4026,1924,3,25
100.803,1927,3,22
103.204,1928,1,22
105.604,1930,2,21
108.005,1935,5,18
110.405,1935,0,19
112.806,1936,1,19
115.206,1936,0,25
117.607,1936,0,29
120.007,1937,1,28
122.408,1937,0,28
124.808,1937,0,30
127.209,1937,0,55
129.608,1937,0,80
132.007,1937,0,103
134.405,1937,0,125
136.804,1937,0,147
139.203,1937,0,164
141.601,1937,0,207
144,1937,0,226
146.399,1937,0,260
148.798,1937,0,281
151.196,1937,0,304
153.595,1937,0,318
155.994,1937,0,335
158.392,1937,0,353
160.791,1937,0,370
163.19,1937,0,385
165.588,1937,0,402
167.987,1937,0,415
170.386,1937,0,435
172.784,1937,0,458
175.183,1937,0,479
177.582,1937,0,500
179.98,1937,0,519
182.379,1937,0,530
184.778,1937,0,545
187.176,1937,0,555
189.575,1938,1,562
191.974,1938,0,570
194.372,1938,0,576
196.771,1938,0,587
199.17,1938,0,601
201.568,1938,0,614
203.967,1938,0,634
206.366,1938,0,656
208.765,1938,0,674
211.163,1938,0,701
213.562,1938,0,730
215.961,1938,0,758
218.359,1938,0,776
220.758,1938,0,786
223.157,1938,0,814
225.555,1938,0,827
227.954,1938,0,847
230.353,1938,0,855
232.751,1938,0,878
235.15,1938,0,886
237.549,1938,0,896
239.947,1938,0,907
242.346,1938,0,913
244.745,1938,0,922
247.143,1938,0,934
249.542,1938,0,938
251.941,1938,0,945
254.339,1938,0,948
256.739,1938,0,955
259.142,1938,0,957
261.544,1938,0,957
263.946,1938,0,957
266.349,1938,0,957
268.751,1938,0,957
271.153,1938,0,957
273.556,1938,0,957
275.958,1938,0,957
278.36,1938,0,957
280.763,1938,0,957
283.165,1938,0,957
285.567,1938,0,957
287.97,1938,0,957
290.372,1938,0,957
292.774,1938,0,957
295.177,1938,0,957
297.579,1938,0,957
299.981,1938,0,957
302.384,1938,0,957
304.786,1938,0,957
307.189,1938,0,957
309.591,1938,0,957
311.993,1938,0,957
314.396,1938,0,957
316.798,1938,0,957
319.2,1938,0,957
321.603,1938,0,981
324.005,1938,0,1008
326.407,1938,0,1057
328.81,1938,0,1095
331.212,1938,0,1132
333.614,1938,0,1163
336.017,1938,0,1188
338.419,1938,0,1204
340.821,1938,0,1220
343.224,1938,0,1237
345.626,1938,0,1253
348.028,1938,0,1275
350.431,1938,0,1294
352.833,1938,0,1322
355.235,1938,0,1348
357.638,1938,0,1374
360.04,1938,0,1401
362.442,1938,0,1439
364.845,1939,1,1460
367.247,1939,0,1478
369.649,1939,0,1494
372.052,1939,0,1503
374.454,1939,0,1513
376.856,1939,0,1528
379.259,1939,0,1546
381.661,1939,0,1566
384.064,1939,0,1584
386.466,1939,0,1593
388.868,1939,0,1607
391.271,1939,0,1626
393.673,1939,0,1634
396.075,1939,0,1645
398.478,1939,0,1655
400.88,1939,0,1663
403.282,1939,0,1671
405.685,1939,0,1683
408.087,1939,0,1694
410.489,1939,0,1703
412.892,1939,0,1715
415.294,1939,0,1722
417.696,1939,0,1728
420.099,1939,0,1737
422.501,1939,0,1745
424.903,1939,0,1751
427.306,1939,0,1760
429.708,1939,0,1770
432.11,1939,0,1777
434.513,1939,0,1791
436.915,1939,0,1801
439.317,1939,0,1806
441.72,1939,0,1812
444.122,1939,0,1818
446.524,1939,0,1826
448.927,1939,0,1835
451.329,1939,0,1843
453.731,1939,0,1848
456.134,1939,0,1860
458.536,1939,0,1867
460.939,1939,0,1872
463.341,1939,0,1879
465.743,1939,0,1886
468.146,1939,0,1896
470.548,1939,0,1903
472.95,1939,0,1911
475.353,1939,0,1914
477.755,1939,0,1921
480.157,1939,0,1926
482.56,1939,0,1930
484.962,1939,0,1936
487.364,1939,0,1939
489.767,1939,0,1941
492.169,1939,0,1944
494.571,1939,0,1947
496.974,1939,0,1950
499.376,1939,0,1953
501.778,1939,0,1956
504.181,1939,0,1958
506.583,1939,0,1960
508.985,1939,0,1962
511.388,1939,0,1966
513.79,1939,0,1971
516.192,1939,0,1977
518.595,1939,0,1981
520.997,1939,0,1982
523.399,1939,0,1982
525.802,1939,0,1982
528.204,1939,0,1982
530.606,1939,0,1984
533.009,1939,0,1985
535.411,1939,0,1987
537.813,1939,0,1987
540.216,1939,0,1987
542.618,1939,0,1987
545.021,1939,0,1987
547.423,1939,0,1987
549.825,1940,1,1987
552.228,1946,6,1981
554.63,1953,7,1974
557.032,1959,6,1968
559.435,1962,3,1965
561.837,1964,2,1963
564.239,1966,2,1961
566.642,1972,6,1955
569.044,1975,3,1952
571.446,1983,8,1944
573.849,1989,6,1938
576.251,2022,33,1905
578.653,2087,65,1840
581.056,2147,60,1781
583.458,2180,33,1748
585.86,2203,23,1725
588.263,2234,31,1694
590.665,2243,9,1685
593.067,2279,36,1649
595.47,2351,72,1577
597.872,2392,41,1537
600.274,2443,51,1486
602.677,2479,36,1450
605.079,2541,62,1388
607.481,2819,278,1117
609.884,3037,218,900
612.286,3096,59,842
614.688,3121,25,820
617.091,3144,23,797
619.493,3172,28,770
621.896,3210,38,732
624.298,3233,23,709
626.7,3255,22,687
629.103,3277,22,665
631.505,3293,16,649
633.907,3306,13,636
636.31,3319,13,623
638.712,3345,26,597
641.114,3362,17,580
643.517,3371,9,571
645.919,3385,14,557
648.321,3399,14,543
650.724,3422,23,520
653.126,3438,16,504
655.528,3456,18,486
657.931,3476,20,466
660.333,3511,35,431
662.735,3523,12,419
665.138,3529,6,413
667.54,3541,12,401
669.942,3549,8,393
672.345,3553,4,389
674.747,3564,11,378
677.149,3565,1,378
679.552,3576,11,401
681.954,3586,10,426
684.356,3591,5,443
686.759,3594,3,461
689.161,3599,5,473
691.563,3603,4,480
693.966,3604,1,498
696.368,3612,8,510
698.771,3615,3,516
701.173,3621,6,530
703.575,3622,1,543
705.978,3622,0,556
708.38,3626,4,562
710.782,3629,3,591
713.185,3633,4,620
715.587,3633,0,630
717.989,3633,0,646
720.392,3636,3,651
722.794,3637,1,671
725.196,3637,0,697
727.599,3637,0,735
730.001,3637,0,793
732.403,3640,3,883
734.806,3644,4,976
737.208,3668,24,1085
739.61,3688,20,1190
742.013,3724,36,1228
744.415,3777,53,1253
746.817,3847,70,1309
749.22,3930,83,1366
751.622,4006,76,1365
754.024,4079,73,1371
756.427,4158,79,1363
758.829,4247,89,1344
761.231,4347,100,1310
763.634,4426,79,1290
766.036,4523,97,1260
768.438,4594,71,1255
770.841,4684,90,1230
773.243,4773,89,1202
775.646,4872,99,1164
778.048,4966,94,1134
780.45,5043,77,1098
782.853,5115,72,1082
785.255,5188,73,1058
787.657,5256,68,1040
790.06,5324,68,1031
792.462,5382,58,1029
794.864,5415,33,1050
797.267,5477,62,1032
799.669,5532,55,1040
802.071,5597,65,1053
804.474,5669,72,1032
806.876,5731,62,1038
809.278,5792,61,1028
811.681,5863,71,1005
814.083,5916,53,970
816.485,5980,64,908
818.888,6035,55,853
821.29,6093,58,795
823.692,6139,46,749
826.095,6184,45,704
828.497,6219,35,669
830.899,6265,46,623
833.302,6309,44,579
835.704,6354,45,534
838.106,6399,45,489
840.509,6433,34,455
842.911,6460,27,428
845.313,6486,26,402
847.716,6512,26,376
850.118,6534,22,354
852.521,6554,20,334
854.923,6572,18,316
857.325,6591,19,297
859.728,6609,18,279
862.13,6618,9,270
864.532,6629,11,259
866.935,6643,14,245
869.337,6648,5,240
871.739,6653,5,235
874.142,6663,10,225
876.544,6666,3,222
878.946,6667,1,221
881.349,6669,2,219
883.751,6671,2,217
886.153,6677,6,211
888.556,6679,2,209
890.958,6688,9,200
893.36,6705,17,183
895.763,6738,33,150
898.165,6755,17,133
900.567,6760,5,128
902.97,6777,17,111
905.372,6788,11,100
907.774,6796,8,92
910.177,6807,11,81
912.579,6814,7,74
914.981,6817,3,71
917.384,6818,1,70
919.786,6822,4,66
922.188,6823,1,65
924.591,6825,2,63
926.993,6828,3,60
929.396,6829,1,59
931.798,6831,2,57
934.2,6835,4,53
936.603,6840,5,48
939.005,6841,1,47
941.407,6841,0,47
943.81,6844,3,44
946.212,6849,5,39
948.614,6850,1,38
951.017,6851,1,37
953.419,6852,1,36
955.821,6854,2,34
958.224,6856,2,32
960.626,6856,0,32
963.028,6860,4,28
965.431,6860,0,28
967.833,6861,1,27
970.235,6861,0,27
972.638,6861,0,27
975.04,6861,0,27
977.442,6861,0,27
979.845,6861,0,27
982.247,6861,0,27
984.649,6862,1,26
987.052,6862,0,26
989.454,6864,2,24
991.856,6865,1,23
994.259,6865,0,23
996.661,6866,1,22
999.063,6867,1,21
1001.47,6871,4,17
1003.87,6872,1,16
1006.27,6873,1,15
1008.67,6873,0,15
1011.08,6873,0,15
1013.48,6875,2,13
1015.88,6875,0,13
1018.28,6876,1,12
1020.68,6876,0,12
1023.09,6876,0,12
1025.49,6877,1,11
1027.89,6877,0,11
1030.29,6877,0,11
1032.7,6877,0,11
1035.1,6877,0,11
1037.5,6877,0,11
1039.9,6877,0,11
1042.31,6878,1,10
1044.71,6879,1,9
1047.11,6880,1,8
1049.51,6881,1,7
1051.92,6882,1,6
1054.32,6883,1,5
1056.72,6883,0,5
1059.12,6883,0,5
1061.52,6883,0,5
1063.93,6883,0,5
1066.33,6883,0,5
1068.73,6883,0,5
1071.13,6883,0,5
1073.54,6883,0,5
1075.94,6883,0,5
1078.34,6884,1,4
1080.74,6884,0,4
1083.15,6884,0,4
1085.55,6884,0,4
1087.95,6885,1,3
1090.35,6885,0,3
1092.75,6885,0,3
1095.16,6885,0,3
1097.56,6885,0,3
1099.96,6885,0,3
1102.36,6885,0,3
1104.77,6885,0,3
1107.17,6885,0,3
1109.57,6885,0,3
1111.97,6885,0,3
1114.38,6885,0,3
1116.78,6885,0,3
1119.18,6885,0,3
1121.58,6885,0,3
1123.99,6885,0,3
1126.39,6885,0,3
1128.79,6886,1,2
1131.19,6887,1,1
1133.59,6887,0,1
1136,6887,0,1
1138.4,6887,0,1
1140.8,6887,0,1


Started at: Tue Nov 16 18:19:58 2021

Using random seed: 1637083198
Map: res/textures/testmap_maze_1024x512.png
FOLLOW_GREEN_FEROMONE: true
FOLLOW_RED_FEROMONE: true
AVOID_WALLS: true
time,total_gathered_food,gathered_food_since_last_entry,number_of_ants_carrying_food
2.4,0,0,0
4.80001,0,0,0
7.20007,0,0,0
9.60012,0,0,0
12.0002,0,0,0
14.4002,0,0,0
16.8003,0,0,0
19.2003,0,0,0
21.6004,0,0,0
24.0005,0,0,0
26.4005,0,0,0
28.8006,0,0,0
31.2006,0,0,1
33.6004,0,0,1
36,0,0,1
38.3996,0,0,1
40.7992,0,0,1
43.1988,0,0,1
45.5984,0,0,2
47.998,0,0,3
50.3975,0,0,3
52.7971,0,0,4
55.1967,0,0,4
57.5963,0,0,6
59.9959,0,0,6
62.3955,0,0,10
64.7954,0,0,11
67.1959,0,0,13
69.5965,0,0,14
71.997,0,0,14
74.3975,0,0,14
76.798,0,0,14
79.1985,0,0,14
81.599,0,0,14
83.9995,0,0,14
86.4,0,0,14
88.8006,0,0,17
91.2011,0,0,19
93.6016,0,0,19
96.0021,0,0,19
98.4026,0,0,20
100.803,0,0,34
103.204,0,0,52
105.604,0,0,68
108.005,0,0,76
110.405,0,0,82
112.806,0,0,109
115.206,0,0,254
117.607,0,0,334
120.007,0,0,423
122.408,0,0,460
124.808,0,0,461
127.209,0,0,462
129.608,0,0,462
132.007,0,0,463
134.405,0,0,465
136.804,0,0,466
139.203,0,0,466
141.601,0,0,466
144,0,0,466
146.399,0,0,467
148.798,0,0,467
151.196,0,0,467
153.595,0,0,467
155.994,0,0,467
158.392,0,0,468
160.791,0,0,469
163.19,0,0,469
165.588,0,0,469
167.987,0,0,470
170.386,0,0,470
172.784,0,0,470
175.183,0,0,470
177.582,0,0,470


Started at: Tue Nov 16 18:20:39 2021

Using random seed: 1637083239
Map: res/textures/testmap_maze_1024x512.png
FOLLOW_GREEN_FEROMONE: true
FOLLOW_RED_FEROMONE: true
AVOID_WALLS: true
time,total_gathered_food,gathered_food_since_last_entry,number_of_ants_carrying_food


Started at: Tue Nov 16 18:21:02 2021

Using random seed: 1637083262
Map: res/textures/testmap_maze_1024x512.png
FOLLOW_GREEN_FEROMONE: true
FOLLOW_RED_FEROMONE: true
AVOID_WALLS: true
time,total_gathered_food,gathered_food_since_last_entry,number_of_ants_carrying_food
2.4,0,0,0
4.80001,0,0,0
7.20007,0,0,0
9.60012,0,0,0
12.0002,0,0,0
14.4002,0,0,0
16.8003,0,0,0
19.2003,0,0,0
21.6004,0,0,0
24.0005,0,0,0
26.4005,0,0,0
28.8006,0,0,0
31.2006,0,0,0
33.6004,0,0,1
36,0,0,2
38.3996,0,0,5
40.7992,0,0,7
43.1988,0,0,9
