Started at: Tue Nov 16 18:00:22 2021

Using random seed: 1637082022
Map: res/textures/map_corridor_256x144.png
FOLLOW_GREEN_FEROMONE: true
FOLLOW_RED_FEROMONE: true
AVOID_WALLS: false
time,total_gathered_food,gathered_food_since_last_entry,number_of_ants_carrying_food
400.88,2238,8,123
403.282,2248,10,113
405.685,2251,3,110
408.087,2253,2,108
410.489,2259,6,102
412.892,2261,2,100
415.294,2262,1,99
417.696,2265,3,96
420.099,2265,0,96
422.501,2265,0,96
424.903,2266,1,95
427.306,2267,1,94
429.708,2269,2,92
432.11,2270,1,91
434.513,2272,2,89


Started at: Tue Nov 16 18:23:05 2021

Using random seed: 1637083385
Map: res/textures/testmap_simplemaze_1024x512.png
FOLLOW_GREEN_FEROMONE: true
FOLLOW_RED_FEROMONE: true
AVOID_WALLS: true
time,total_gathered_food,gathered_food_since_last_entry,number_of_ants_carrying_food
2.4,0,0,0
4.80001,0,0,0
7.20007,0,0,0
9.60012,0,0,0
12.0002,0,0,0
14.4002,0,0,0
16.8003,0,0,1
19.2003,0,0,2
21.6004,0,0,3
24.0005,0,0,3
26.4005,0,0,3
28.8006,0,0,3
31.2006,0,0,3
33.6004,0,0,3
36,0,0,3
38.3996,0,0,3
40.7992,0,0,3
43.1988,0,0,3
45.5984,0,0,3
47.998,0,0,3
50.3975,0,0,3
52.7971,0,0,3
55.1967,0,0,4
57.5963,0,0,5
59.9959,0,0,5
62.3955,0,0,5
64.7954,0,0,5
67.1959,0,0,5
69.5965,0,0,5
71.997,0,0,7
74.3975,0,0,8
76.798,0,0,10
79.1985,0,0,10
81.599,0,0,11
83.9995,0,0,11
86.4,0,0,12
88.8006,0,0,12
91.2011,0,0,12
93.6016,0,0,12
96.0021,0,0,12
98.4026,0,0,13
100.803,0,0,13
103.204,0,0,13
105.604,0,0,13
108.005,0,0,13
110.405,0,0,13
112.806,0,0,13
115.206,0,0,13
117.607,0,0,13
120.007,0,0,13
122.408,0,0,13
124.808,0,0,13
127.209,0,0,13
129.608,0,0,13
132.007,0,0,13
134.405,0,0,13
136.804,0,0,13
139.203,0,0,13
141.601,0,0,13
144,0,0,13
146.399,0,0,13
148.798,0,0,13
151.196,0,0,13
153.595,0,0,13
155.994,0,0,15
158.392,0,0,16
160.791,0,0,16
163.19,0,0,16
165.588,0,0,16
167.987,0,0,17
170.386,0,0,17
172.784,0,0,17
175.183,0,0,17
177.582,0,0,17
179.98,0,0,17
182.379,0,0,18
184.778,0,0,18
187.176,0,0,18
189.575,0,0,19
191.974,0,0,20
194.372,0,0,21
196.771,0,0,25
199.17,0,0,27
201.568,0,0,29
203.967,0,0,31
206.366,0,0,31
208.765,0,0,32
211.163,0,0,32
213.562,0,0,32
215.961,0,0,32
218.359,0,0,32
220.758,0,0,32
223.157,0,0,32
225.555,0,0,32
227.954,0,0,32
230.353,0,0,32
232.751,0,0,32
235.15,0,0,32
237.549,0,0,32
239.947,0,0,32
242.346,0,0,32
244.745,0,0,32
247.143,0,0,32
249.542,0,0,32
251.941,1,1,31
254.339,2,1,30
256.739,2,0,30
259.142,2,0,30
261.544,3,1,30
263.946,3,0,31
266.349,3,0,31
268.751,3,0,33
271.153,3,0,34
273.556,3,0,34
275.958,3,0,34
278.36,3,0,34
280.763,3,0,34
283.165,4,1,33
285.567,4,0,33
287.97,6,2,31
290.372,6,0,31
292.774,7,1,31
295.177,8,1,32
297.579,8,0,32
299.981,8,0,32
302.384,9,1,31
304.786,10,1,30
307.189,10,0,30
309.591,12,2,28
311.993,15,3,25
314.396,15,0,25
316.798,15,0,25
319.2,19,4,21
321.603,20,1,20
324.005,21,1,19
326.407,21,0,19
328.81,21,0,19
331.212,21,0,19
333.614,21,0,19
336.017,21,0,19
338.419,21,0,19
340.821,21,0,19
343.224,21,0,19
345.626,21,0,19
348.028,21,0,19
350.431,21,0,19
352.833,21,0,19
355.235,22,1,19
357.638,22,0,19
360.04,22,0,22
362.442,22,0,22
364.845,22,0,24
367.247,22,0,27
369.649,22,0,27
372.052,22,0,27
374.454,22,0,27
376.856,22,0,27
379.259,22,0,27
381.661,22,0,27
384.064,22,0,27
386.466,22,0,27
388.868,22,0,27
391.271,22,0,27
393.673,22,0,27
396.075,22,0,27
398.478,22,0,27
400.88,22,0,27
403.282,22,0,27
405.685,22,0,27
408.087,22,0,27
410.489,22,0,27
412.892,22,0,27
415.294,22,0,27
417.696,22,0,27
420.099,22,0,27
422.501,22,0,28
424.903,23,1,27
427.306,27,4,23
429.708,29,2,21
432.11,30,1,20
434.513,36,6,14
436.915,36,0,14
439.317,38,2,12
441.72,38,0,12
444.122,39,1,11
446.524,39,0,11
448.927,39,0,11
451.329,39,0,11
453.731,40,1,10
456.134,40,0,10
458.536,40,0,10
460.939,40,0,10
463.341,40,0,10
465.743,40,0,10
468.146,40,0,10
470.548,40,0,11
472.95,40,0,11
475.353,40,0,12
477.755,40,0,13
480.157,40,0,13
482.56,40,0,15
484.962,40,0,16
487.364,40,0,16
489.767,40,0,16
492.169,40,0,17
494.571,41,1,16
496.974,41,0,16
499.376,42,1,15
501.778,42,0,15
504.181,42,0,15
506.583,42,0,15
508.985,42,0,15
511.388,42,0,15
513.79,42,0,15
516.192,42,0,15
518.595,42,0,15
520.997,42,0,15
523.399,42,0,15
525.802,42,0,15
528.204,42,0,15
530.606,42,0,16
533.009,42,0,16
535.411,42,0,16
537.813,42,0,17
540.216,42,0,18
542.618,42,0,19
545.021,42,0,19
547.423,42,0,19
549.825,42,0,19
552.228,42,0,19
554.63,42,0,19
557.032,42,0,20
559.435,42,0,20
561.837,42,0,20
564.239,42,0,20
566.642,42,0,20
569.044,42,0,21
571.446,42,0,21
573.849,42,0,22
576.251,42,0,22
578.653,42,0,22
581.056,42,0,22
583.458,42,0,22
585.86,42,0,22
588.263,42,0,22
590.665,42,0,22
593.067,42,0,22
595.47,43,1,21
597.872,43,0,21
600.274,43,0,21
602.677,43,0,21
605.079,43,0,22
607.481,43,0,23
609.884,43,0,23
612.286,43,0,24
614.688,43,0,24
617.091,44,1,23
619.493,45,1,22
621.896,45,0,23
624.298,45,0,23
626.7,45,0,23
629.103,47,2,21
631.505,49,2,19
633.907,50,1,19
636.31,50,0,20
638.712,50,0,22
641.114,50,0,23
643.517,51,1,22
645.919,53,2,21
648.321,54,1,20
650.724,55,1,19
653.126,55,0,19
655.528,55,0,19
657.931,55,0,19
660.333,55,0,19
662.735,55,0,19
665.138,55,0,19
667.54,55,0,19
669.942,55,0,19
672.345,55,0,19
674.747,56,1,18
677.149,56,0,18
679.552,56,0,18
681.954,56,0,18
684.356,56,0,18
686.759,56,0,18
689.161,56,0,18
691.563,56,0,18
693.966,56,0,18
696.368,56,0,18
698.771,56,0,18
701.173,56,0,18
703.575,56,0,18
705.978,56,0,18
708.38,56,0,19
710.782,56,0,20
713.185,56,0,23
715.587,56,0,24
717.989,57,1,24
720.392,57,0,25
722.794,60,3,22
725.196,60,0,22
727.599,61,1,21
730.001,61,0,21
732.403,61,0,21
734.806,61,0,22
737.208,61,0,22
739.61,61,0,22
742.013,61,0,22
744.415,61,0,22
746.817,61,0,22
749.22,61,0,22
751.622,61,0,22
754.024,61,0,22
756.427,61,0,22
758.829,61,0,22
761.231,61,0,22
763.634,61,0,22
766.036,61,0,22
768.438,61,0,22
770.841,61,0,22
773.243,65,4,18
775.646,66,1,17
778.048,69,3,14
780.45,70,1,13
782.853,71,1,12
785.255,71,0,12
787.657,71,0,14
790.06,72,1,13
792.462,72,0,13
794.864,72,0,13
797.267,72,0,13
799.669,72,0,13
802.071,73,1,12
804.474,73,0,12
806.876,73,0,12
809.278,73,0,12
811.681,74,1,11
814.083,74,0,11
816.485,74,0,11
818.888,74,0,11
821.29,74,0,11
823.692,74,0,12
826.095,74,0,12
828.497,74,0,12
830.899,74,0,12
833.302,74,0,12
835.704,74,0,12
838.106,74,0,13
840.509,74,0,13
842.911,74,0,13
845.313,74,0,13
847.716,75,1,12
850.118,75,0,12
852.521,75,0,12
854.923,75,0,12
857.325,75,0,13
859.728,75,0,14
862.13,75,0,14
864.532,75,0,14
866.935,75,0,15
869.337,76,1,15
871.739,77,1,14
874.142,77,0,15
876.544,77,0,15
878.946,77,0,15
881.349,77,0,15
883.751,77,0,15
886.153,77,0,15
888.556,77,0,15
890.958,77,0,15
893.36,77,0,15
895.763,77,0,16
898.165,77,0,18
900.567,77,0,19
902.97,78,1,20
905.372,78,0,21
907.774,79,1,20
910.177,79,0,20
912.579,79,0,20
914.981,79,0,20
917.384,79,0,20
919.786,79,0,20
922.188,79,0,20
924.591,79,0,20
926.993,79,0,20
929.396,79,0,20
931.798,79,0,20
934.2,79,0,20
936.603,79,0,20
939.005,79,0,20
941.407,79,0,20
943.81,79,0,20
946.212,79,0,20
948.614,79,0,20
951.017,79,0,20
953.419,79,0,20
955.821,79,0,20
958.224,79,0,20
960.626,79,0,20
963.028,79,0,20
965.431,79,0,21
967.833,80,1,20
970.235,81,1,20
972.638,81,0,20
975.04,81,0,20
977.442,81,0,20
979.845,81,0,20
982.247,81,0,20
984.649,81,0,20
987.052,81,0,20
989.454,81,0,20
991.856,82,1,19
994.259,82,0,19
996.661,82,0,19
999.063,83,1,18
1001.47,83,0,18
1003.87,84,1,17
1006.27,84,0,17
1008.67,84,0,17
1011.08,84,0,17
1013.48,84,0,17
1015.88,86,2,15
1018.28,86,0,15
1020.68,86,0,15
1023.09,86,0,16
1025.49,86,0,16
1027.89,86,0,17
1030.29,86,0,17
1032.7,87,1,16
1035.1,87,0,16
1037.5,90,3,13
1039.9,91,1,12
1042.31,93,2,10
1044.71,93,0,10
1047.11,93,0,10
1049.51,93,0,10
1051.92,93,0,10
1054.32,94,1,9
1056.72,94,0,9
1059.12,94,0,9
1061.52,94,0,9
1063.93,94,0,10
1066.33,94,0,10
1068.73,94,0,10
1071.13,94,0,10
1073.54,94,0,10
1075.94,95,1,9
1078.34,95,0,10
1080.74,95,0,11
1083.15,95,0,12
1085.55,95,0,12
1087.95,95,0,14
1090.35,95,0,14
1092.75,96,1,13
1095.16,96,0,13
1097.56,96,0,13
1099.96,96,0,13
1102.36,97,1,12
1104.77,98,1,11
1107.17,98,0,11
1109.57,98,0,11
1111.97,98,0,11
1114.38,98,0,11
1116.78,98,0,11
1119.18,98,0,11
1121.58,98,0,11
1123.99,98,0,12
1126.39,98,0,13
1128.79,98,0,14
1131.19,98,0,14
1133.59,98,0,16
1136,98,0,18
1138.4,98,0,18
1140.8,98,0,18
1143.2,98,0,18
1145.61,98,0,18
1148.01,98,0,18
1150.41,98,0,18
1152.81,98,0,18
1155.22,99,1,17
1157.62,99,0,17
1160.02,99,0,17
1162.42,99,0,17
1164.83,99,0,17
1167.23,99,0,17
1169.63,99,0,17
1172.03,99,0,17
1174.43,99,0,17
1176.84,99,0,17
1179.24,99,0,17
1181.64,99,0,18
1184.04,99,0,18
1186.45,99,0,18
1188.85,99,0,18
1191.25,99,0,19
1193.65,99,0,19
1196.06,103,4,15
1198.46,108,5,10
1200.86,108,0,10
1203.26,108,0,10
1205.67,108,0,10
1208.07,109,1,11
1210.47,109,0,11
1212.87,110,1,12
1215.27,110,0,12
1217.68,110,0,12
1220.08,110,0,12
1222.48,110,0,12
1224.88,111,1,11
1227.29,111,0,16
1229.69,111,0,19
1232.09,111,0,19
1234.49,112,1,20
1236.9,113,1,21
1239.3,114,1,22
1241.7,115,1,22
1244.1,116,1,22
1246.5,117,1,23
1248.91,120,3,22
1251.31,124,4,18
1253.71,132,8,14
1256.11,138,6,10
1258.52,139,1,15
1260.92,142,3,19
1263.32,144,2,23
1265.72,148,4,25
1268.13,155,7,20
1270.53,165,10,15
1272.93,171,6,13
1275.33,173,2,17
1277.74,176,3,20
1280.14,178,2,25
1282.54,184,6,25
1284.94,190,6,21
1287.34,200,10,16
1289.75,207,7,14
1292.15,209,2,19
1294.55,214,5,21
1296.95,217,3,26
1299.36,223,6,24
1301.76,229,6,22
1304.16,239,10,17
1306.56,246,7,15
1308.97,249,3,19
1311.37,256,7,23
1313.77,260,4,26
1316.17,268,8,23
1318.58,274,6,23
1320.98,282,8,18
1323.38,287,5,20
1325.78,293,6,22
1328.18,298,5,25
1330.59,303,5,26
1332.99,311,8,22
1335.39,322,11,18
1337.79,328,6,16
1340.2,333,5,21
1342.6,340,7,25
1345,344,4,29
1347.4,352,8,26
1349.81,361,9,23
1352.21,370,9,17
1354.61,375,5,22
1357.01,383,8,21
1359.42,386,3,29
1361.82,393,7,28
1364.22,402,9,25
1366.62,414,12,18
1369.02,421,7,17
1371.43,426,5,21
1373.83,432,6,26
1376.23,435,3,31
1378.63,444,9,27
1381.04,456,12,21
1383.44,464,8,16
1385.84,470,6,19
1388.24,477,7,23
1390.65,480,3,29
1393.05,489,9,27
1395.45,498,9,24
1397.85,508,10,18
1400.25,516,8,17
1402.66,521,5,21
1405.06,525,4,27
1407.46,533,8,26
1409.86,541,8,25
1412.27,549,8,21
1414.67,557,8,21
1417.07,566,9,19
1419.47,569,3,23
1421.88,577,8,24
1424.28,583,6,28
1426.68,591,8,23
1429.08,601,10,21
1431.49,610,9,18
1433.89,614,4,23
1436.29,621,7,25
1438.69,628,7,28
1441.09,637,9,23
1443.5,646,9,21
1445.9,655,9,19
1448.3,660,5,22
1450.7,666,6,26
1453.11,674,8,26
1455.51,682,8,24
1457.91,691,9,21
1460.31,699,8,21
1462.72,705,6,22
1465.12,712,7,25
1467.52,720,8,25
1469.92,727,7,24
1472.33,737,10,21
1474.73,744,7,22
1477.13,752,8,21
1479.53,758,6,24
1481.93,765,7,25
1484.34,773,8,24
1486.74,782,9,22
1489.14,790,8,21
1491.54,797,7,22
1493.95,804,7,21
1496.35,810,6,24
1498.75,817,7,23
1501.15,825,8,22
1503.56,834,9,21
1505.96,841,7,22
1508.36,847,6,24
1510.76,855,8,24
1513.17,863,8,23
1515.57,871,8,22
1517.97,879,8,22
1520.37,886,7,23
1522.77,893,7,25
1525.18,901,8,23
1527.58,910,9,20
1529.98,918,8,19
1532.38,924,6,21
1534.79,930,6,27
1537.19,938,8,26
1539.59,945,7,26
1541.99,957,12,19
1544.4,963,6,21
1546.8,970,7,21
1549.2,975,5,27
1551.6,985,10,26
1554,991,6,26
1556.41,1002,11,19
1558.81,1011,9,20
1561.21,1017,6,22
1563.61,1022,5,27
1566.02,1030,8,28
1568.42,1039,9,24
1570.82,1049,10,21
1573.22,1058,9,18
1575.63,1063,5,24
1578.03,1070,7,26
1580.43,1078,8,27
1582.83,1087,9,22
1585.24,1097,10,19
1587.64,1106,9,18
1590.04,1110,4,24
1592.44,1116,6,27
1594.84,1124,8,29
1597.25,1135,11,21
1599.65,1143,8,18
1602.05,1153,10,17
1604.45,1156,3,24
1606.86,1162,6,26
1609.26,1171,9,27
1611.66,1181,10,20
1614.06,1187,6,20
1616.47,1198,11,18
1618.87,1201,3,25
1621.27,1207,6,27
1623.67,1218,11,24
1626.08,1226,8,20
1628.48,1233,7,19
1630.88,1242,9,21
1633.28,1246,4,28
1635.68,1255,9,25
1638.09,1263,8,26
1640.49,1273,10,19
1642.89,1283,10,18
1645.29,1289,6,21
1647.7,1292,3,27
1650.1,1300,8,29
1652.5,1310,10,26
1654.9,1320,10,19
1657.31,1330,10,16
1659.71,1336,6,23
1662.11,1339,3,27
1664.51,1346,7,29
1666.92,1359,13,21
1669.32,1365,6,19
1671.72,1376,11,15
1674.12,1381,5,22
1676.52,1385,4,25
1678.93,1391,6,30
1681.33,1402,11,23
1683.73,1410,8,20
1686.13,1420,10,17
1688.54,1425,5,22
1690.94,1430,5,24
1693.34,1438,8,25
1695.74,1447,9,21
1698.15,1455,8,19
1700.55,1464,9,19
1702.95,1468,4,23
1705.35,1475,7,24
1707.75,1483,8,24
1710.16,1490,7,24
1712.56,1498,8,22
1714.96,1506,8,22
1717.36,1514,8,22
1719.77,1520,6,26
1722.17,1530,10,24
1724.57,1538,8,22
1726.97,1547,9,19
1729.38,1555,8,22
1731.78,1562,7,24
1734.18,1566,4,28
1736.58,1578,12,22
1738.99,1585,7,22
1741.39,1594,9,17
1743.79,1599,5,23
1746.19,1607,8,24
1748.59,1612,5,26
1751,1623,11,20
1753.4,1632,9,19
1755.8,1637,5,21
1758.2,1643,6,26
1760.61,1650,7,27
1763.01,1660,10,22
1765.41,1671,11,17
1767.81,1677,6,20
1770.22,1681,4,25
1772.62,1690,9,27
1775.02,1697,7,26
1777.42,1707,10,20
1779.83,1716,9,19
1782.23,1722,6,21
1784.63,1727,5,28
1787.03,1734,7,30
1789.43,1744,10,26
1791.84,1755,11,18
1794.24,1764,9,15
1796.64,1768,4,21
1799.04,1772,4,30
1801.45,1781,9,28


Started at: Tue Nov 16 18:23:53 2021

Using random seed: 1637083433
Map: res/textures/testmap_simplemaze_1024x512.png
FOLLOW_GREEN_FEROMONE: true
FOLLOW_RED_FEROMONE: true
AVOID_WALLS: true
time,total_gathered_food,gathered_food_since_last_entry,number_of_ants_carrying_food
2.4,0,0,0
4.80001,0,0,0
7.20007,0,0,0
9.60012,0,0,0
12.0002,0,0,0
14.4002,0,0,0
16.8003,0,0,0
19.2003,0,0,1
21.6004,0,0,1
24.0005,0,0,3
26.4005,0,0,3
28.8006,0,0,5
31.2006,0,0,8
33.6004,0,0,9
36,0,0,9
38.3996,0,0,10
40.7992,0,0,10
43.1988,0,0,10
45.5984,0,0,10
47.998,0,0,10
50.3975,0,0,10
52.7971,0,0,10
55.1967,0,0,10
57.5963,0,0,10
59.9959,0,0,10
62.3955,0,0,10
64.7954,0,0,10
67.1959,0,0,10
69.5965,0,0,10
71.997,0,0,10
74.3975,0,0,10
76.798,0,0,10
79.1985,0,0,10
81.599,0,0,10
83.9995,0,0,10
86.4,0,0,10
88.8006,0,0,10
91.2011,0,0,10
93.6016,0,0,10
96.0021,0,0,10
98.4026,0,0,11
100.803,0,0,11
103.204,2,2,13
105.604,2,0,14
108.005,2,0,17
110.405,2,0,17
112.806,2,0,17
115.206,2,0,17
117.607,2,0,17
120.007,4,2,15
122.408,4,0,15
124.808,4,0,15
127.209,4,0,15
129.608,4,0,15
132.007,4,0,15
134.405,4,0,15
136.804,4,0,15
139.203,4,0,15
141.601,4,0,15
144,4,0,15
146.399,4,0,15
148.798,5,1,14
151.196,11,6,8
153.595,13,2,6
155.994,15,2,4
158.392,15,0,4
160.791,15,0,4
163.19,15,0,5
165.588,15,0,5
167.987,15,0,5
170.386,15,0,5
172.784,15,0,6
175.183,16,1,5
177.582,16,0,6
179.98,16,0,8
182.379,16,0,9
184.778,16,0,9
187.176,16,0,10
189.575,16,0,11
191.974,16,0,11
194.372,16,0,11
196.771,16,0,11
199.17,16,0,11
201.568,16,0,11
203.967,16,0,11
206.366,16,0,11
208.765,16,0,11
211.163,16,0,11
213.562,16,0,11
215.961,16,0,11
218.359,16,0,11
220.758,16,0,11
223.157,17,1,11
225.555,18,1,10
227.954,20,2,8
230.353,21,1,7
232.751,21,0,7
235.15,21,0,8
237.549,23,2,6
239.947,23,0,10
242.346,23,0,10
244.745,23,0,10
247.143,23,0,10
249.542,23,0,10
251.941,23,0,10
254.339,23,0,10
256.739,23,0,10
259.142,24,1,9
261.544,25,1,8
263.946,28,3,5
266.349,30,2,3
268.751,31,1,3
271.153,31,0,3
273.556,31,0,3
275.958,31,0,3
278.36,31,0,3
280.763,31,0,3
283.165,31,0,3
285.567,31,0,3
287.97,31,0,3
290.372,31,0,3
292.774,31,0,3
295.177,31,0,3
297.579,31,0,3
299.981,31,0,3
302.384,31,0,5
304.786,31,0,7
307.189,31,0,7
309.591,32,1,7
311.993,32,0,10
314.396,32,0,13
316.798,32,0,13
319.2,32,0,13
321.603,32,0,13
324.005,32,0,13
326.407,32,0,13
328.81,32,0,13
331.212,32,0,13
333.614,32,0,13
336.017,32,0,13
338.419,32,0,13
340.821,32,0,13
343.224,32,0,13
345.626,32,0,13
348.028,32,0,13
350.431,32,0,13
352.833,32,0,13
355.235,32,0,13
357.638,32,0,13
360.04,32,0,13
362.442,32,0,13
364.845,32,0,13
367.247,32,0,13
369.649,32,0,13
372.052,32,0,13
374.454,32,0,13
376.856,32,0,14
379.259,32,0,15
381.661,32,0,15
384.064,32,0,15
386.466,32,0,15
388.868,32,0,15
391.271,32,0,15
393.673,32,0,15
396.075,32,0,15
398.478,34,2,13
400.88,34,0,13
403.282,34,0,13
405.685,34,0,13
408.087,34,0,13
410.489,34,0,13
412.892,34,0,14
415.294,34,0,14
417.696,35,1,13
420.099,35,0,13
422.501,35,0,13
424.903,35,0,13
427.306,36,1,12
429.708,36,0,12
432.11,36,0,12
434.513,36,0,12
436.915,36,0,12
439.317,37,1,11
441.72,37,0,11
444.122,37,0,12
446.524,37,0,12
448.927,37,0,12
451.329,37,0,12
453.731,37,0,12
456.134,37,0,12
458.536,37,0,12
460.939,37,0,12
463.341,37,0,12
465.743,37,0,12
468.146,37,0,12
470.548,37,0,12
472.95,37,0,12
475.353,37,0,12
477.755,37,0,13
480.157,37,0,13
482.56,37,0,19
484.962,37,0,25
487.364,37,0,28
489.767,38,1,28
492.169,38,0,29
494.571,38,0,30
496.974,38,0,30
499.376,38,0,30
501.778,38,0,31
504.181,38,0,31
506.583,38,0,31
508.985,38,0,31
511.388,38,0,31
513.79,38,0,31
516.192,38,0,31
518.595,38,0,31
520.997,38,0,31
523.399,38,0,31
525.802,38,0,31
528.204,38,0,31
530.606,39,1,30
533.009,40,1,29
535.411,41,1,28
537.813,42,1,27
540.216,42,0,27
542.618,42,0,27
545.021,42,0,27
547.423,42,0,27
549.825,42,0,27
552.228,42,0,27
554.63,42,0,27
557.032,42,0,27
559.435,42,0,27
561.837,42,0,28
564.239,42,0,28
566.642,42,0,28
569.044,42,0,28
571.446,42,0,28
573.849,42,0,28
576.251,44,2,29
578.653,45,1,28
581.056,46,1,27
583.458,46,0,27
585.86,46,0,27
588.263,48,2,25
590.665,49,1,24
593.067,49,0,24
595.47,49,0,24
597.872,49,0,24
600.274,49,0,24
602.677,49,0,24
605.079,49,0,24
607.481,49,0,24
609.884,49,0,24
612.286,49,0,24
614.688,50,1,23
617.091,50,0,24
619.493,50,0,24
621.896,50,0,24
624.298,50,0,24
626.7,50,0,24
629.103,50,0,24
631.505,50,0,24
633.907,50,0,24
636.31,50,0,24
638.712,50,0,27
641.114,51,1,26
643.517,51,0,27
645.919,53,2,25
648.321,54,1,24
650.724,54,0,26
653.126,55,1,25
655.528,57,2,25
657.931,59,2,26
660.333,59,0,27
662.735,59,0,27
665.138,59,0,27
667.54,59,0,28
669.942,59,0,31
672.345,59,0,31
674.747,59,0,33
677.149,59,0,34
679.552,59,0,34
681.954,59,0,34
684.356,60,1,36
686.759,60,0,36
689.161,60,0,36
691.563,60,0,36
693.966,60,0,36
696.368,60,0,36
698.771,61,1,35
701.173,61,0,35
703.575,61,0,35
705.978,64,3,32
708.38,70,6,26
710.782,74,4,22
713.185,77,3,19
715.587,77,0,19
717.989,77,0,19
720.392,77,0,19
722.794,77,0,19
725.196,77,0,19
727.599,77,0,19
730.001,77,0,19
732.403,77,0,19
734.806,77,0,19
737.208,78,1,18
739.61,78,0,18
742.013,78,0,18
744.415,78,0,18
746.817,78,0,18
749.22,78,0,19
751.622,78,0,19
754.024,79,1,18
756.427,81,2,17
758.829,83,2,15
761.231,83,0,15
763.634,84,1,14
766.036,84,0,14
768.438,85,1,13
770.841,85,0,13
773.243,85,0,13
775.646,85,0,13
778.048,85,0,13
780.45,85,0,13
782.853,85,0,13
785.255,85,0,13
787.657,85,0,13
790.06,86,1,12
792.462,86,0,14
794.864,88,2,12
797.267,90,2,11
799.669,90,0,11
802.071,94,4,7
804.474,94,0,7
806.876,94,0,7
809.278,96,2,5
811.681,96,0,5
814.083,96,0,5
816.485,96,0,5
818.888,96,0,5
821.29,96,0,5
823.692,96,0,5
826.095,96,0,5
828.497,96,0,6
830.899,96,0,6
833.302,96,0,6
835.704,96,0,6
838.106,96,0,6
840.509,96,0,6
842.911,96,0,6
845.313,96,0,6
847.716,96,0,6
850.118,96,0,6
852.521,96,0,6
854.923,96,0,6
857.325,96,0,6
859.728,96,0,6
862.13,96,0,6
864.532,96,0,6
866.935,96,0,6
869.337,96,0,6
871.739,96,0,6
874.142,96,0,6
876.544,97,1,5
878.946,97,0,6
881.349,97,0,6
883.751,97,0,6
886.153,97,0,6
888.556,97,0,6
890.958,97,0,6
893.36,97,0,6
895.763,97,0,6
898.165,97,0,6
900.567,97,0,6
902.97,97,0,6
905.372,98,1,5
907.774,98,0,5
910.177,98,0,6
912.579,99,1,5
914.981,99,0,5
917.384,99,0,5
919.786,99,0,5
922.188,99,0,5
924.591,99,0,5
926.993,99,0,7
929.396,99,0,7
931.798,100,1,6
934.2,100,0,6
936.603,100,0,6
939.005,100,0,6
941.407,101,1,5
943.81,101,0,5
946.212,101,0,5
948.614,101,0,5
951.017,101,0,6
953.419,101,0,6
955.821,101,0,7
958.224,101,0,10
960.626,101,0,10
963.028,101,0,13
965.431,101,0,13
967.833,101,0,13
970.235,101,0,13
972.638,101,0,13
975.04,101,0,13
977.442,101,0,13
979.845,101,0,13
982.247,101,0,13
984.649,101,0,13
987.052,101,0,13
989.454,102,1,12
991.856,102,0,12
994.259,102,0,12
996.661,102,0,12
999.063,102,0,12
1001.47,103,1,11
1003.87,107,4,7
1006.27,107,0,7
1008.67,107,0,10
1011.08,107,0,13
1013.48,107,0,15
1015.88,107,0,16
1018.28,107,0,18
1020.68,107,0,20
1023.09,107,0,20
1025.49,108,1,19
1027.89,108,0,19
1030.29,108,0,19
1032.7,108,0,19
1035.1,108,0,19
1037.5,108,0,19
1039.9,108,0,19
1042.31,108,0,19
1044.71,108,0,19
1047.11,108,0,19
1049.51,108,0,19
1051.92,109,1,18
1054.32,109,0,18
1056.72,109,0,18
1059.12,109,0,18
1061.52,109,0,18
1063.93,109,0,18
1066.33,109,0,18
1068.73,109,0,19
1071.13,109,0,19
1073.54,109,0,19
1075.94,109,0,20
1078.34,109,0,20
1080.74,109,0,20
1083.15,109,0,21
1085.55,110,1,21
1087.95,110,0,21
1090.35,111,1,20
1092.75,114,3,17
1095.16,114,0,17
1097.56,115,1,16
1099.96,116,1,17
1102.36,116,0,20
1104.77,116,0,21
1107.17,116,0,21
1109.57,116,0,23
1111.97,116,0,24
1114.38,119,3,21
1116.78,120,1,20
1119.18,122,2,18
1121.58,122,0,18
1123.99,123,1,17
1126.39,123,0,17
1128.79,125,2,15
1131.19,125,0,15
1133.59,125,0,15
1136,125,0,15
1138.4,125,0,15
1140.8,125,0,15
1143.2,125,0,15
1145.61,125,0,15
1148.01,125,0,15
1150.41,125,0,15
1152.81,125,0,15
1155.22,125,0,15
1157.62,126,1,14
1160.02,127,1,15
1162.42,127,0,15
1164.83,127,0,15
1167.23,127,0,15
1169.63,127,0,17
1172.03,127,0,17
1174.43,128,1,16
1176.84,128,0,16
1179.24,128,0,16
1181.64,128,0,16
1184.04,128,0,16
1186.45,128,0,16
1188.85,128,0,17
1191.25,128,0,18
1193.65,128,0,18
1196.06,128,0,18
1198.46,128,0,21
1200.86,128,0,21
1203.26,128,0,23
1205.67,128,0,27
1208.07,128,0,27
1210.47,128,0,28
1212.87,128,0,28
1215.27,128,0,28
1217.68,128,0,28
1220.08,128,0,28
1222.48,128,0,28
1224.88,128,0,28
1227.29,128,0,28
1229.69,128,0,28
1232.09,128,0,28
1234.49,128,0,28
1236.9,128,0,28
1239.3,128,0,28
1241.7,128,0,28
1244.1,128,0,28
1246.5,128,0,28
1248.91,128,0,28
1251.31,128,0,28
1253.71,128,0,28
1256.11,128,0,28
1258.52,128,0,28
1260.92,129,1,27
1263.32,130,1,27
1265.72,130,0,28
1268.13,130,0,28
1270.53,131,1,28
